TimeStamp,v_Vehicle,pos_x,pos_z,v_EgoPerson,pos_x_left_foot,pos_z_left_foot,crossingDecisionToken,SubjectID,ScenarioID,dest_rel_dist,speed,rel_dist_vel,acc,const,dec,Velocity_gradient,v_to_vmax,sin_Angle,direction,left,central,right,dest,curr_dist_left_dec_x,curr_dist_left_acc_x,curr_dist_left_const_x,curr_dist_right_dec_x,curr_dist_right_acc_x,curr_dist_right_const_x,curr_dist_central_dec_x,curr_dist_central_acc_x,curr_dist_central_const_x,curr_dist_left_dec_z,curr_dist_left_acc_z,curr_dist_left_const_z,curr_dist_right_dec_z,curr_dist_right_acc_z,curr_dist_right_const_z,curr_dist_central_dec_z,curr_dist_central_acc_z,curr_dist_central_const_z,dest_dist_left_dec,dest_dist_left_acc,dest_dist_left_const,dest_dist_right_dec,dest_dist_right_acc,dest_dist_right_const,dest_dist_central_dec,dest_dist_central_acc,dest_dist_central_const,car_dist_left_dec,car_dist_left_acc,car_dist_left_const,car_dist_right_dec,car_dist_right_acc,car_dist_right_const,car_dist_central_dec,car_dist_central_acc,car_dist_central_const,v_Vehicle_Effect,Angle_Left_Acc,Angle_Left_Dec,Angle_Left_Const,Angle_Right_Acc,Angle_Right_Dec,Angle_Right_Const,Angle_Central_Acc,Angle_Central_Dec,Angle_Central_Const,Choice_Literal,Choice,PrevChoice_1,PrevChoice_2,PrevChoice_3,PrevChoice_4,PrevChoice_5,PrevChoice_6,PrevChoice_7,PrevChoice_8,PrevChoice_9,InvID
34.58778,8.347919,-59.82776,387.5182,0.1604166,-148.8929,395.7296,FALSE,1,1,13.6230228,Const,10.71439072,0,1,0,-9.23E-16,0.120361588,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,89.44286586,89.44286586,89.44286586,89.44286586,89.44286586,89.44286586,89.44286586,89.44286586,89.44286586,8.347919,0,0,0,0,0,0,0,0,0,C-Const,6,0,0,0,0,0,0,0,1,0,11
35.69889,8.32118,-69.04113,388.4997,0,-148.8929,395.7296,FALSE,1,1,13.6230228,Dec,9.635460955,0,0,1,-0.058095396,0,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,80.17840499,80.17840499,80.17840499,80.17840499,80.17840499,80.17840499,80.17840499,80.17840499,80.17840499,8.32118,0,0,0,0,0,0,0,0,0,C-Dec,9,0,0,0,0,0,1,0,0,0,12
36.81,8.313345,-78.22045,389.3494,0.03131585,-148.8929,395.7296,FALSE,1,1,13.6230228,Const,8.535657174,0,1,0,0.006302198,0.02349648,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,70.95986289,70.95986289,70.95986289,70.95986289,70.95986289,70.95986289,70.95986289,70.95986289,70.95986289,8.313345,0,0,0,0,0,0,0,0,0,C-Const,6,0,0,0,0,0,0,0,0,1,13
37.92111,8.349944,-87.46397,390.0553,0.01400487,-148.8929,395.7296,FALSE,1,1,13.6230228,Dec,7.388126908,0,0,1,-0.004905189,0.010507942,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,61.69044595,61.69044595,61.69044595,61.69044595,61.69044595,61.69044595,61.69044595,61.69044595,61.69044595,8.349944,0,0,0,0,0,0,0,0,0,C-Dec,9,0,0,0,0,0,1,0,0,0,14
39.03222,8.337421,-96.70979,390.5767,0.02041544,-148.8929,395.7296,FALSE,1,1,13.6230228,Const,6.289343942,0,1,0,0.003681602,0.015317834,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,52.43690826,52.43690826,52.43690826,52.43690826,52.43690826,52.43690826,52.43690826,52.43690826,52.43690826,8.337421,0,0,0,0,0,0,0,0,0,C-Const,6,0,0,0,0,0,0,0,0,1,15
40.14333,8.268929,-105.9082,390.931,0.0221862,-148.8929,395.7296,FALSE,1,1,13.6230228,Const,5.230631039,0,1,0,0.020789926,0.016646446,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,43.25171668,43.25171668,43.25171668,43.25171668,43.25171668,43.25171668,43.25171668,43.25171668,43.25171668,8.268929,0,0,0,0,0,0,0,0,0,C-Const,6,0,0,0,0,0,1,0,0,0,16
41.25444,8.224954,-115.0485,391.2042,0.06661523,-148.8929,395.7296,FALSE,1,1,13.6230228,Const,4.151465117,0,1,0,0.00932256,0.049981828,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,34.14560962,34.14560962,34.14560962,34.14560962,34.14560962,34.14560962,34.14560962,34.14560962,34.14560962,8.224954,0,0,0,0,0,0,0,0,0,C-Const,6,0,0,0,0,0,1,0,0,0,17
42.36555,7.125973,-123.4153,391.4281,0.04290298,-148.8929,395.7296,FALSE,1,1,13.6230228,Const,3.625914597,0,1,0,-0.023320894,0.032190377,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,25.83816952,25.83816952,25.83816952,25.83816952,25.83816952,25.83816952,25.83816952,25.83816952,25.83816952,7.125973,0,0,0,0,0,0,0,0,0,C-Const,6,0,0,0,0,0,1,0,0,0,18
43.47667,5.548362,-130.119,391.4308,0.0147908,-148.8929,395.7296,FALSE,1,1,13.6230228,Dec,3.471254544,0,0,1,-0.014062449,0.011097631,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,19.25977681,19.25977681,19.25977681,19.25977681,19.25977681,19.25977681,19.25977681,19.25977681,19.25977681,5.548362,0,0,0,0,0,0,0,0,0,C-Dec,9,0,0,0,0,0,1,0,0,0,19
44.58778,3.968893,-135.0074,391.3419,0.01165276,-148.8929,395.7296,FALSE,1,1,13.6230228,Const,3.669095248,0,1,0,0.646065286,0.008743139,0,C,0,1,0,7,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,-148.8929,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,395.7296,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,13.6230228,14.56224645,14.56224645,14.56224645,14.56224645,14.56224645,14.56224645,14.56224645,14.56224645,14.56224645,3.968893,0,0,0,0,0,0,0,0,0,C-Const,6,0,0,0,0,0,0,0,0,1,20
